"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block","accuracy","slider_start","choices","standardized_response","num_attention_checks_correct"
"street view slide show","image-button-response","10","14834","0.0-10.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_5080/IMG_10_5080.jpg","null","","","","","","2","","","","",""
"street view slide show","image-button-response","11","15845","0.0-11.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_5080/IMG_9_5080.jpg","null","","","","","","2","","","","",""
"street view slide show","image-button-response","12","16853","0.0-12.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_5080/IMG_6_5080.jpg","null","","","","","","2","","","","",""
"street view slide show","image-button-response","13","17862","0.0-13.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_5080/IMG_13_5080.jpg","null","","","","","","2","","","","",""
"street view slide show","image-button-response","14","18869","0.0-14.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_5080/IMG_1_5080.jpg","null","","","","","","2","","","","",""
"dot matrix survey1","survey","15","143888","0.0-15.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","124979","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","2","[]","","","",""
"dot matrix survey2","survey","16","144626","0.0-16.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","721","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","2","[]","","","",""
"dot matrix survey3","survey","17","145410","0.0-17.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","773","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","2","[]","","","",""
"sliderTrial","html-slider-response","18","146729","0.0-18.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","1314","[""SV_PolicingMSA/FL_5080/IMG_8_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_7_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_3_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_10_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_9_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_6_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_13_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_1_5080.jpg""]","4","","","","","","2","","4","[""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","19","147247","0.0-19.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","515","[""SV_PolicingMSA/FL_5080/IMG_8_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_7_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_3_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_10_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_9_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_6_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_13_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_1_5080.jpg""]","4","","","","","","2","","4","[""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","20","147664","0.0-20.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","414","[""SV_PolicingMSA/FL_5080/IMG_8_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_7_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_3_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_10_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_9_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_6_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_13_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_1_5080.jpg""]","4","","","","","","2","","4","[""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","21","147845","0.0-21.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","177","[""SV_PolicingMSA/FL_5080/IMG_8_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_7_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_3_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_10_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_9_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_6_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_13_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_1_5080.jpg""]","4","","","","","","2","","4","[""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","22","147999","0.0-22.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","152","[""SV_PolicingMSA/FL_5080/IMG_8_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_7_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_3_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_10_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_9_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_6_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_13_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_1_5080.jpg""]","4","","","","","","2","","4","[""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png""]","4",""
"before_SVSlide_prompt","html-button-response","23","149246","0.0-23.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","1245","Click [Next] to see the next neighborhood!","0","","","","","","","","","","",""
"street view slide show","image-button-response","24","150255","0.0-24.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_9_4062.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","25","151262","0.0-25.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_7_4062.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","26","152269","0.0-26.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_11_4062.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","27","153278","0.0-27.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_8_4062.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","28","154287","0.0-28.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_6_4062.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","29","155294","0.0-29.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_14_4062.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","30","156304","0.0-30.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_2_4062.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","31","157314","0.0-31.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_3_4062.jpg","null","","","","","","3","","","","",""
"dot matrix survey1","survey","32","183120","0.0-32.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","25771","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","3","[]","","","",""
"dot matrix survey2","survey","33","183890","0.0-33.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","758","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","3","[]","","","",""
"dot matrix survey3","survey","34","185111","0.0-34.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","1212","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","3","[]","","","",""
"sliderTrial","html-slider-response","35","186245","0.0-35.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","1131","[""SV_PolicingMSA/FL_4062/IMG_9_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_7_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_11_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_8_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_6_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_14_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_2_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_3_4062.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","36","186679","0.0-36.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","433","[""SV_PolicingMSA/FL_4062/IMG_9_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_7_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_11_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_8_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_6_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_14_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_2_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_3_4062.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","37","186865","0.0-37.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","181","[""SV_PolicingMSA/FL_4062/IMG_9_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_7_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_11_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_8_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_6_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_14_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_2_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_3_4062.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","38","187013","0.0-38.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","146","[""SV_PolicingMSA/FL_4062/IMG_9_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_7_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_11_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_8_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_6_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_14_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_2_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_3_4062.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","39","187179","0.0-39.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","164","[""SV_PolicingMSA/FL_4062/IMG_9_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_7_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_11_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_8_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_6_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_14_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_2_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_3_4062.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png""]","4",""
"before_SVSlide_prompt","html-button-response","40","188346","0.0-40.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","1164","Click [Next] to see the next neighborhood!","0","","","","","","","","","","",""
"street view slide show","image-button-response","41","189354","0.0-41.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_2544/IMG_2_2544.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","42","190363","0.0-42.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_2544/IMG_14_2544.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","43","191372","0.0-43.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_2544/IMG_11_2544.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","44","192380","0.0-44.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_2544/IMG_6_2544.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","45","193389","0.0-45.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_2544/IMG_12_2544.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","46","194397","0.0-46.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_2544/IMG_10_2544.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","47","195405","0.0-47.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_2544/IMG_1_2544.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","48","196414","0.0-48.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_2544/IMG_3_2544.jpg","null","","","","","","3","","","","",""
"dot matrix survey1","survey","49","197777","0.0-49.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","1340","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","3","[]","","","",""
"dot matrix survey2","survey","50","198239","0.0-50.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","452","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","3","[]","","","",""
"dot matrix survey3","survey","51","198855","0.0-51.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","606","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","3","[]","","","",""
"sliderTrial","html-slider-response","52","199678","0.0-52.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","821","[""SV_PolicingMSA/FL_2544/IMG_2_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_14_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_11_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_6_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_12_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_10_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_1_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_3_2544.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","53","199847","0.0-53.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","168","[""SV_PolicingMSA/FL_2544/IMG_2_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_14_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_11_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_6_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_12_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_10_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_1_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_3_2544.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","54","199994","0.0-54.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","144","[""SV_PolicingMSA/FL_2544/IMG_2_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_14_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_11_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_6_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_12_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_10_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_1_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_3_2544.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","55","200162","0.0-55.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","167","[""SV_PolicingMSA/FL_2544/IMG_2_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_14_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_11_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_6_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_12_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_10_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_1_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_3_2544.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","56","200797","0.0-56.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","632","[""SV_PolicingMSA/FL_2544/IMG_2_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_14_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_11_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_6_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_12_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_10_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_1_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_3_2544.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png""]","4",""
"before_SVSlide_prompt","html-button-response","57","201945","0.0-57.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","1147","Click [Next] to see the next neighborhood!","0","","","","","","","","","","",""
"street view slide show","image-button-response","58","202950","0.0-58.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4515/IMG_8_4515.jpg","null","","","","","","0","","","","",""
"street view slide show","image-button-response","59","203958","0.0-59.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4515/IMG_10_4515.jpg","null","","","","","","0","","","","",""
"street view slide show","image-button-response","60","204965","0.0-60.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4515/IMG_4_4515.jpg","null","","","","","","0","","","","",""
"street view slide show","image-button-response","61","205972","0.0-61.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4515/IMG_13_4515.jpg","null","","","","","","0","","","","",""
"street view slide show","image-button-response","62","206979","0.0-62.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4515/IMG_0_4515.jpg","null","","","","","","0","","","","",""
"street view slide show","image-button-response","63","207984","0.0-63.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4515/IMG_6_4515.jpg","null","","","","","","0","","","","",""
"street view slide show","image-button-response","64","208992","0.0-64.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4515/IMG_1_4515.jpg","null","","","","","","0","","","","",""
"street view slide show","image-button-response","65","209998","0.0-65.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4515/IMG_12_4515.jpg","null","","","","","","0","","","","",""
"dot matrix survey1","survey","66","220862","0.0-66.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","10830","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","0","[]","","","",""
"dot matrix survey2","survey","67","221512","0.0-67.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","10","","","","","","","","","","","","636","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","0","[]","","","",""
