"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block","accuracy","slider_start","choices","standardized_response"
"street view slide show","image-button-response","10","21118","0.0-10.0","","","","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_293/IMG_10_293.jpg","null","","","","","","4","","","",""
"street view slide show","image-button-response","11","22125","0.0-11.0","","","","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_293/IMG_13_293.jpg","null","","","","","","4","","","",""
"street view slide show","image-button-response","12","23131","0.0-12.0","","","","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_293/IMG_7_293.jpg","null","","","","","","4","","","",""
"street view slide show","image-button-response","13","24136","0.0-13.0","","","","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_293/IMG_6_293.jpg","null","","","","","","4","","","",""
"street view slide show","image-button-response","14","25141","0.0-14.0","","","","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_293/IMG_8_293.jpg","null","","","","","","4","","","",""
"dot matrix survey1","survey","15","39604","0.0-15.0","","","","3","","","","","","","","","","","","14410","","{""P0_Q0"":null,""P0_Q1"":{""wealthy"":1,""safe"":1,""walkable"":1,""traditional"":1,""diverse"":1}}","","","","","","4","[]","","",""
"dot matrix survey2","survey","16","43135","0.0-16.0","","","","3","","","","","","","","","","","","3522","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","4","[]","","",""
"dot matrix survey3","survey","17","45875","0.0-17.0","","","","3","","","","","","","","","","","","2732","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","4","[]","","",""
"sliderTrial","html-slider-response","18","51229","0.0-18.0","","","","3","","","","","","","","","","","","5352","[""SV_PolicingMSA/NY_293/IMG_14_293.jpg"",""SV_PolicingMSA/NY_293/IMG_1_293.jpg"",""SV_PolicingMSA/NY_293/IMG_5_293.jpg"",""SV_PolicingMSA/NY_293/IMG_10_293.jpg"",""SV_PolicingMSA/NY_293/IMG_13_293.jpg"",""SV_PolicingMSA/NY_293/IMG_7_293.jpg"",""SV_PolicingMSA/NY_293/IMG_6_293.jpg"",""SV_PolicingMSA/NY_293/IMG_8_293.jpg""]","5","","","","","","4","","4","[""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png""]","5"
"sliderTrial","html-slider-response","19","53674","0.0-19.0","","","","3","","","","","","","","","","","","2442","[""SV_PolicingMSA/NY_293/IMG_14_293.jpg"",""SV_PolicingMSA/NY_293/IMG_1_293.jpg"",""SV_PolicingMSA/NY_293/IMG_5_293.jpg"",""SV_PolicingMSA/NY_293/IMG_10_293.jpg"",""SV_PolicingMSA/NY_293/IMG_13_293.jpg"",""SV_PolicingMSA/NY_293/IMG_7_293.jpg"",""SV_PolicingMSA/NY_293/IMG_6_293.jpg"",""SV_PolicingMSA/NY_293/IMG_8_293.jpg""]","4","","","","","","4","","4","[""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png""]","4"
"sliderTrial","html-slider-response","20","54262","0.0-20.0","","","","3","","","","","","","","","","","","586","[""SV_PolicingMSA/NY_293/IMG_14_293.jpg"",""SV_PolicingMSA/NY_293/IMG_1_293.jpg"",""SV_PolicingMSA/NY_293/IMG_5_293.jpg"",""SV_PolicingMSA/NY_293/IMG_10_293.jpg"",""SV_PolicingMSA/NY_293/IMG_13_293.jpg"",""SV_PolicingMSA/NY_293/IMG_7_293.jpg"",""SV_PolicingMSA/NY_293/IMG_6_293.jpg"",""SV_PolicingMSA/NY_293/IMG_8_293.jpg""]","4","","","","","","4","","4","[""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png""]","4"
"sliderTrial","html-slider-response","21","54872","0.0-21.0","","","","3","","","","","","","","","","","","607","[""SV_PolicingMSA/NY_293/IMG_14_293.jpg"",""SV_PolicingMSA/NY_293/IMG_1_293.jpg"",""SV_PolicingMSA/NY_293/IMG_5_293.jpg"",""SV_PolicingMSA/NY_293/IMG_10_293.jpg"",""SV_PolicingMSA/NY_293/IMG_13_293.jpg"",""SV_PolicingMSA/NY_293/IMG_7_293.jpg"",""SV_PolicingMSA/NY_293/IMG_6_293.jpg"",""SV_PolicingMSA/NY_293/IMG_8_293.jpg""]","4","","","","","","4","","4","[""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png""]","4"
"sliderTrial","html-slider-response","22","55503","0.0-22.0","","","","3","","","","","","","","","","","","628","[""SV_PolicingMSA/NY_293/IMG_14_293.jpg"",""SV_PolicingMSA/NY_293/IMG_1_293.jpg"",""SV_PolicingMSA/NY_293/IMG_5_293.jpg"",""SV_PolicingMSA/NY_293/IMG_10_293.jpg"",""SV_PolicingMSA/NY_293/IMG_13_293.jpg"",""SV_PolicingMSA/NY_293/IMG_7_293.jpg"",""SV_PolicingMSA/NY_293/IMG_6_293.jpg"",""SV_PolicingMSA/NY_293/IMG_8_293.jpg""]","4","","","","","","4","","4","[""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png""]","4"
"before_SVSlide_prompt","html-button-response","23","57448","0.0-23.0","","","","3","","","","","","","","","","","","1944","Click [Next] to see the next neighborhood!","0","","","","","","","","","",""
"street view slide show","image-button-response","24","58453","0.0-24.0","","","","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_4631/IMG_14_4631.jpg","null","","","","","","5","","","",""
"street view slide show","image-button-response","25","59457","0.0-25.0","","","","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_4631/IMG_2_4631.jpg","null","","","","","","5","","","",""
"street view slide show","image-button-response","26","60459","0.0-26.0","","","","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_4631/IMG_5_4631.jpg","null","","","","","","5","","","",""
"street view slide show","image-button-response","27","61462","0.0-27.0","","","","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_4631/IMG_8_4631.jpg","null","","","","","","5","","","",""
"street view slide show","image-button-response","28","62467","0.0-28.0","","","","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_4631/IMG_7_4631.jpg","null","","","","","","5","","","",""
"street view slide show","image-button-response","29","63469","0.0-29.0","","","","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_4631/IMG_13_4631.jpg","null","","","","","","5","","","",""
"street view slide show","image-button-response","30","64474","0.0-30.0","","","","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_4631/IMG_1_4631.jpg","null","","","","","","5","","","",""
"street view slide show","image-button-response","31","65478","0.0-31.0","","","","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_4631/IMG_6_4631.jpg","null","","","","","","5","","","",""
"dot matrix survey1","survey","32","67967","0.0-32.0","","","","3","","","","","","","","","","","","2472","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","5","[]","","",""
"dot matrix survey2","survey","33","68750","0.0-33.0","","","","3","","","","","","","","","","","","775","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","5","[]","","",""
"dot matrix survey3","survey","34","70781","0.0-34.0","","","","3","","","","","","","","","","","","2023","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","5","[]","","",""
"sliderTrial","html-slider-response","35","73704","0.0-35.0","","","","3","","","","","","","","","","","","2922","[""SV_PolicingMSA/NY_4631/IMG_14_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_2_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_5_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_8_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_7_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_13_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_1_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_6_4631.jpg""]","5","","","","","","5","","4","[""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png""]","5"
"sliderTrial","html-slider-response","36","74597","0.0-36.0","","","","3","","","","","","","","","","","","891","[""SV_PolicingMSA/NY_4631/IMG_14_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_2_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_5_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_8_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_7_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_13_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_1_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_6_4631.jpg""]","4","","","","","","5","","4","[""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png""]","4"
"sliderTrial","html-slider-response","37","75561","0.0-37.0","","","","3","","","","","","","","","","","","962","[""SV_PolicingMSA/NY_4631/IMG_14_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_2_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_5_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_8_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_7_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_13_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_1_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_6_4631.jpg""]","4","","","","","","5","","4","[""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png""]","4"
"sliderTrial","html-slider-response","38","76425","0.0-38.0","","","","3","","","","","","","","","","","","861","[""SV_PolicingMSA/NY_4631/IMG_14_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_2_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_5_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_8_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_7_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_13_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_1_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_6_4631.jpg""]","4","","","","","","5","","4","[""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png""]","4"
"sliderTrial","html-slider-response","39","77510","0.0-39.0","","","","3","","","","","","","","","","","","1082","[""SV_PolicingMSA/NY_4631/IMG_14_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_2_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_5_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_8_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_7_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_13_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_1_4631.jpg"",""SV_PolicingMSA/NY_4631/IMG_6_4631.jpg""]","4","","","","","","5","","4","[""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png""]","4"
