"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block","accuracy","slider_start","choices","standardized_response"
"before_SVSlide_prompt","html-button-response","23","113472","0.0-23.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","2421","Click [Next] to see the next neighborhood!","0","","","","","","","","","",""
"street view slide show","image-button-response","24","114479","0.0-24.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_5080/IMG_8_5080.jpg","null","","","","","","2","","","",""
"street view slide show","image-button-response","25","115490","0.0-25.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_5080/IMG_7_5080.jpg","null","","","","","","2","","","",""
"street view slide show","image-button-response","26","116508","0.0-26.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_5080/IMG_3_5080.jpg","null","","","","","","2","","","",""
"street view slide show","image-button-response","27","117523","0.0-27.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_5080/IMG_10_5080.jpg","null","","","","","","2","","","",""
"street view slide show","image-button-response","28","118538","0.0-28.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_5080/IMG_9_5080.jpg","null","","","","","","2","","","",""
"street view slide show","image-button-response","29","119556","0.0-29.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_5080/IMG_6_5080.jpg","null","","","","","","2","","","",""
"street view slide show","image-button-response","30","120567","0.0-30.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_5080/IMG_13_5080.jpg","null","","","","","","2","","","",""
"street view slide show","image-button-response","31","121585","0.0-31.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_5080/IMG_1_5080.jpg","null","","","","","","2","","","",""
"dot matrix survey1","survey","32","142684","0.0-32.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","21090","","{""P0_Q0"":null,""P0_Q1"":{""wealthy"":0,""safe"":1,""walkable"":0,""traditional"":2,""diverse"":3}}","","","","","","2","[]","","",""
"dot matrix survey2","survey","33","152687","0.0-33.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","9996","","{""P0_Q0"":null,""P0_Q1"":{""violence"":3,""crime"":3,""drug"":3,""schools"":0,""opportunities"":0}}","","","","","","2","[]","","",""
"dot matrix survey3","survey","34","172830","0.0-34.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","20137","","{""P0_Q0"":null,""P0_Q1"":{""movein"":0,""moveout"":4,""shopping"":0,""walk"":1,""park"":0,""school"":0}}","","","","","","2","[]","","",""
"sliderTrial","html-slider-response","35","175088","0.0-35.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","2257","[""SV_PolicingMSA/FL_5080/IMG_8_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_7_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_3_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_10_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_9_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_6_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_13_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_1_5080.jpg""]","4","","","","","","2","","4","[""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png""]","4"
"sliderTrial","html-slider-response","36","176649","0.0-36.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","1559","[""SV_PolicingMSA/FL_5080/IMG_8_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_7_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_3_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_10_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_9_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_6_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_13_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_1_5080.jpg""]","4","","","","","","2","","4","[""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png""]","4"
"sliderTrial","html-slider-response","37","178050","0.0-37.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","1398","[""SV_PolicingMSA/FL_5080/IMG_8_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_7_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_3_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_10_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_9_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_6_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_13_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_1_5080.jpg""]","4","","","","","","2","","4","[""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png""]","4"
"sliderTrial","html-slider-response","38","179485","0.0-38.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","1431","[""SV_PolicingMSA/FL_5080/IMG_8_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_7_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_3_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_10_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_9_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_6_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_13_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_1_5080.jpg""]","4","","","","","","2","","4","[""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png""]","4"
"sliderTrial","html-slider-response","39","181691","0.0-39.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","2203","[""SV_PolicingMSA/FL_5080/IMG_8_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_7_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_3_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_10_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_9_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_6_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_13_5080.jpg"",""SV_PolicingMSA/FL_5080/IMG_1_5080.jpg""]","4","","","","","","2","","4","[""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png""]","4"
"before_SVSlide_prompt","html-button-response","40","183031","0.0-40.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","1338","Click [Next] to see the next neighborhood!","0","","","","","","","","","",""
"street view slide show","image-button-response","41","184043","0.0-41.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4528/IMG_7_4528.jpg","null","","","","","","1","","","",""
"street view slide show","image-button-response","42","185049","0.0-42.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4528/IMG_6_4528.jpg","null","","","","","","1","","","",""
"street view slide show","image-button-response","43","186059","0.0-43.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4528/IMG_10_4528.jpg","null","","","","","","1","","","",""
"street view slide show","image-button-response","44","187073","0.0-44.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4528/IMG_9_4528.jpg","null","","","","","","1","","","",""
"street view slide show","image-button-response","45","188090","0.0-45.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4528/IMG_8_4528.jpg","null","","","","","","1","","","",""
"street view slide show","image-button-response","46","189095","0.0-46.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4528/IMG_1_4528.jpg","null","","","","","","1","","","",""
"street view slide show","image-button-response","47","190103","0.0-47.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4528/IMG_14_4528.jpg","null","","","","","","1","","","",""
"street view slide show","image-button-response","48","191118","0.0-48.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4528/IMG_3_4528.jpg","null","","","","","","1","","","",""
"dot matrix survey1","survey","49","203772","0.0-49.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","12639","","{""P0_Q0"":null,""P0_Q1"":{""wealthy"":0,""safe"":1,""walkable"":0,""traditional"":2,""diverse"":3}}","","","","","","1","[]","","",""
"dot matrix survey2","survey","50","215113","0.0-50.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","11335","","{""P0_Q0"":null,""P0_Q1"":{""violence"":2,""crime"":2,""drug"":3,""schools"":0,""opportunities"":0}}","","","","","","1","[]","","",""
"dot matrix survey3","survey","51","225207","0.0-51.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","10088","","{""P0_Q0"":null,""P0_Q1"":{""movein"":0,""moveout"":4,""shopping"":0,""walk"":1,""park"":0,""school"":0}}","","","","","","1","[]","","",""
"sliderTrial","html-slider-response","52","227980","0.0-52.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","2771","[""SV_PolicingMSA/FL_4528/IMG_7_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_6_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_10_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_9_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_8_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_1_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_14_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_3_4528.jpg""]","4","","","","","","1","","4","[""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png""]","4"
"sliderTrial","html-slider-response","53","231988","0.0-53.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","4004","[""SV_PolicingMSA/FL_4528/IMG_7_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_6_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_10_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_9_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_8_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_1_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_14_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_3_4528.jpg""]","4","","","","","","1","","4","[""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png""]","4"
"sliderTrial","html-slider-response","54","233361","0.0-54.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","1370","[""SV_PolicingMSA/FL_4528/IMG_7_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_6_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_10_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_9_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_8_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_1_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_14_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_3_4528.jpg""]","4","","","","","","1","","4","[""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png""]","4"
"sliderTrial","html-slider-response","55","234466","0.0-55.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","1103","[""SV_PolicingMSA/FL_4528/IMG_7_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_6_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_10_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_9_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_8_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_1_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_14_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_3_4528.jpg""]","4","","","","","","1","","4","[""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png""]","4"
"sliderTrial_attention","html-slider-response","56","235696","0.0-56.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","1227","[""SV_PolicingMSA/FL_4528/IMG_7_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_6_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_10_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_9_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_8_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_1_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_14_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_3_4528.jpg""]","4","","","","","","1","","4","[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",""
"sliderTrial","html-slider-response","57","237272","0.0-57.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","1573","[""SV_PolicingMSA/FL_4528/IMG_7_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_6_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_10_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_9_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_8_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_1_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_14_4528.jpg"",""SV_PolicingMSA/FL_4528/IMG_3_4528.jpg""]","4","","","","","","1","","4","[""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png""]","4"
"before_SVSlide_prompt","html-button-response","58","238612","0.0-58.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","1338","Click [Next] to see the next neighborhood!","0","","","","","","","","","",""
"street view slide show","image-button-response","59","239616","0.0-59.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_9_4062.jpg","null","","","","","","3","","","",""
