"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block","accuracy","slider_start","choices","correct","standardized_response"
"street view slide show","image-button-response","10","18495","0.0-10.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_2534/IMG_11_2534.jpg","null","","","","","","0","","","","",""
"street view slide show","image-button-response","11","19501","0.0-11.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_2534/IMG_8_2534.jpg","null","","","","","","0","","","","",""
"street view slide show","image-button-response","12","20507","0.0-12.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_2534/IMG_10_2534.jpg","null","","","","","","0","","","","",""
"street view slide show","image-button-response","13","21515","0.0-13.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_2534/IMG_4_2534.jpg","null","","","","","","0","","","","",""
"street view slide show","image-button-response","14","22520","0.0-14.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_2534/IMG_6_2534.jpg","null","","","","","","0","","","","",""
"dot matrix survey1","survey","15","24421","0.0-15.0","","","","1","","","","","","","","","","","","1848","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","0","[]","","","",""
"dot matrix survey2","survey","16","25075","0.0-16.0","","","","1","","","","","","","","","","","","645","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","0","[]","","","",""
"dot matrix survey3","survey","17","26406","0.0-17.0","","","","1","","","","","","","","","","","","1324","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","0","[]","","","",""
"sliderTrial_attention","html-slider-response","18","36409","0.0-18.0","","","","1","","","","","","","","","","","","null","[""SV_PolicingMSA/CA_2534/IMG_14_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_5_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_1_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_11_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_8_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_10_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_4_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_6_2534.jpg""]","null","","","","","","0","","4","[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]","true",""
"sliderTrial","html-slider-response","19","40596","0.0-19.0","","","","1","","","","","","","","","","","","4185","[""SV_PolicingMSA/CA_2534/IMG_14_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_5_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_1_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_11_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_8_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_10_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_4_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_6_2534.jpg""]","4","","","","","","0","","4","[""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png""]","","4"
"sliderTrial","html-slider-response","20","43165","0.0-20.0","","","","1","","","","","","","","","","","","2567","[""SV_PolicingMSA/CA_2534/IMG_14_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_5_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_1_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_11_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_8_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_10_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_4_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_6_2534.jpg""]","4","","","","","","0","","4","[""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png""]","","4"
"sliderTrial","html-slider-response","21","44081","0.0-21.0","","","","1","","","","","","","","","","","","915","[""SV_PolicingMSA/CA_2534/IMG_14_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_5_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_1_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_11_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_8_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_10_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_4_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_6_2534.jpg""]","4","","","","","","0","","4","[""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png""]","","4"
"sliderTrial","html-slider-response","22","44747","0.0-22.0","","","","1","","","","","","","","","","","","664","[""SV_PolicingMSA/CA_2534/IMG_14_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_5_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_1_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_11_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_8_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_10_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_4_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_6_2534.jpg""]","4","","","","","","0","","4","[""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png""]","","4"
"sliderTrial","html-slider-response","23","45539","0.0-23.0","","","","1","","","","","","","","","","","","790","[""SV_PolicingMSA/CA_2534/IMG_14_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_5_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_1_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_11_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_8_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_10_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_4_2534.jpg"",""SV_PolicingMSA/CA_2534/IMG_6_2534.jpg""]","4","","","","","","0","","4","[""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png""]","","4"
"before_SVSlide_prompt","html-button-response","24","47203","0.0-24.0","","","","1","","","","","","","","","","","","1664","Click [Next] to see the next neighborhood!","0","","","","","","","","","","",""
"street view slide show","image-button-response","25","48209","0.0-25.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_8565/IMG_3_8565.jpg","null","","","","","","4","","","","",""
"street view slide show","image-button-response","26","49215","0.0-26.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_8565/IMG_12_8565.jpg","null","","","","","","4","","","","",""
"street view slide show","image-button-response","27","50221","0.0-27.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_8565/IMG_5_8565.jpg","null","","","","","","4","","","","",""
"street view slide show","image-button-response","28","51224","0.0-28.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_8565/IMG_7_8565.jpg","null","","","","","","4","","","","",""
"street view slide show","image-button-response","29","52230","0.0-29.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_8565/IMG_1_8565.jpg","null","","","","","","4","","","","",""
"street view slide show","image-button-response","30","53236","0.0-30.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_8565/IMG_2_8565.jpg","null","","","","","","4","","","","",""
"street view slide show","image-button-response","31","54242","0.0-31.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_8565/IMG_8_8565.jpg","null","","","","","","4","","","","",""
"street view slide show","image-button-response","32","55248","0.0-32.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_8565/IMG_6_8565.jpg","null","","","","","","4","","","","",""
"dot matrix survey1","survey","33","58654","0.0-33.0","","","","1","","","","","","","","","","","","3385","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","4","[]","","","",""
"dot matrix survey2","survey","34","59173","0.0-34.0","","","","1","","","","","","","","","","","","510","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","4","[]","","","",""
"dot matrix survey3","survey","35","60383","0.0-35.0","","","","1","","","","","","","","","","","","1203","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","4","[]","","","",""
"sliderTrial","html-slider-response","36","67848","0.0-36.0","","","","1","","","","","","","","","","","","7463","[""SV_PolicingMSA/CA_8565/IMG_3_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_12_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_5_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_7_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_1_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_2_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_8_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_6_8565.jpg""]","4","","","","","","4","","4","[""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png""]","","4"
"sliderTrial","html-slider-response","37","69561","0.0-37.0","","","","1","","","","","","","","","","","","1711","[""SV_PolicingMSA/CA_8565/IMG_3_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_12_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_5_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_7_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_1_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_2_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_8_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_6_8565.jpg""]","4","","","","","","4","","4","[""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png""]","","4"
"sliderTrial","html-slider-response","38","71598","0.0-38.0","","","","1","","","","","","","","","","","","2035","[""SV_PolicingMSA/CA_8565/IMG_3_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_12_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_5_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_7_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_1_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_2_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_8_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_6_8565.jpg""]","4","","","","","","4","","4","[""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png""]","","4"
"sliderTrial","html-slider-response","39","73580","0.0-39.0","","","","1","","","","","","","","","","","","1979","[""SV_PolicingMSA/CA_8565/IMG_3_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_12_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_5_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_7_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_1_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_2_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_8_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_6_8565.jpg""]","4","","","","","","4","","4","[""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png""]","","4"
"sliderTrial","html-slider-response","40","75589","0.0-40.0","","","","1","","","","","","","","","","","","2007","[""SV_PolicingMSA/CA_8565/IMG_3_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_12_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_5_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_7_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_1_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_2_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_8_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_6_8565.jpg""]","4","","","","","","4","","4","[""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png""]","","4"
"before_SVSlide_prompt","html-button-response","41","77247","0.0-41.0","","","","1","","","","","","","","","","","","1656","Click [Next] to see the next neighborhood!","0","","","","","","","","","","",""
"street view slide show","image-button-response","42","78252","0.0-42.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_2009/IMG_8_2009.jpg","null","","","","","","1","","","","",""
"street view slide show","image-button-response","43","79258","0.0-43.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_2009/IMG_9_2009.jpg","null","","","","","","1","","","","",""
"street view slide show","image-button-response","44","80265","0.0-44.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_2009/IMG_1_2009.jpg","null","","","","","","1","","","","",""
"street view slide show","image-button-response","45","81269","0.0-45.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_2009/IMG_6_2009.jpg","null","","","","","","1","","","","",""
"street view slide show","image-button-response","46","82276","0.0-46.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_2009/IMG_5_2009.jpg","null","","","","","","1","","","","",""
"street view slide show","image-button-response","47","83282","0.0-47.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_2009/IMG_2_2009.jpg","null","","","","","","1","","","","",""
"street view slide show","image-button-response","48","84285","0.0-48.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_2009/IMG_0_2009.jpg","null","","","","","","1","","","","",""
"street view slide show","image-button-response","49","85288","0.0-49.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_2009/IMG_3_2009.jpg","null","","","","","","1","","","","",""
"dot matrix survey1","survey","50","87069","0.0-50.0","","","","1","","","","","","","","","","","","1769","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","1","[]","","","",""
"dot matrix survey2","survey","51","87696","0.0-51.0","","","","1","","","","","","","","","","","","619","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","1","[]","","","",""
"dot matrix survey3","survey","52","88920","0.0-52.0","","","","1","","","","","","","","","","","","1215","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","1","[]","","","",""
"sliderTrial_attention","html-slider-response","53","91387","0.0-53.0","","","","1","","","","","","","","","","","","2466","[""SV_PolicingMSA/CA_2009/IMG_8_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_9_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_1_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_6_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_5_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_2_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_0_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_3_2009.jpg""]","4","","","","","","1","","4","[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]","",""
"sliderTrial","html-slider-response","54","92851","0.0-54.0","","","","1","","","","","","","","","","","","1463","[""SV_PolicingMSA/CA_2009/IMG_8_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_9_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_1_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_6_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_5_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_2_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_0_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_3_2009.jpg""]","4","","","","","","1","","4","[""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png""]","","4"
"sliderTrial","html-slider-response","55","94388","0.0-55.0","","","","1","","","","","","","","","","","","1535","[""SV_PolicingMSA/CA_2009/IMG_8_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_9_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_1_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_6_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_5_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_2_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_0_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_3_2009.jpg""]","4","","","","","","1","","4","[""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png""]","","4"
"sliderTrial","html-slider-response","56","95812","0.0-56.0","","","","1","","","","","","","","","","","","1422","[""SV_PolicingMSA/CA_2009/IMG_8_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_9_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_1_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_6_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_5_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_2_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_0_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_3_2009.jpg""]","4","","","","","","1","","4","[""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png""]","","4"
"sliderTrial","html-slider-response","57","97368","0.0-57.0","","","","1","","","","","","","","","","","","1554","[""SV_PolicingMSA/CA_2009/IMG_8_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_9_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_1_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_6_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_5_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_2_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_0_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_3_2009.jpg""]","4","","","","","","1","","4","[""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png""]","","4"
"sliderTrial","html-slider-response","58","99425","0.0-58.0","","","","1","","","","","","","","","","","","2055","[""SV_PolicingMSA/CA_2009/IMG_8_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_9_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_1_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_6_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_5_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_2_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_0_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_3_2009.jpg""]","4","","","","","","1","","4","[""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png""]","","4"
"before_SVSlide_prompt","html-button-response","59","100967","0.0-59.0","","","","1","","","","","","","","","","","","1541","Click [Next] to see the next neighborhood!","0","","","","","","","","","","",""
"street view slide show","image-button-response","60","101972","0.0-60.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_2555/IMG_8_2555.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","61","102977","0.0-61.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_2555/IMG_13_2555.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","62","103983","0.0-62.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_2555/IMG_3_2555.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","63","104985","0.0-63.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_2555/IMG_14_2555.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","64","105992","0.0-64.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_2555/IMG_9_2555.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","65","106999","0.0-65.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_2555/IMG_6_2555.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","66","108003","0.0-66.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_2555/IMG_2_2555.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","67","109006","0.0-67.0","","","","1","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/CA_2555/IMG_7_2555.jpg","null","","","","","","3","","","","",""
"dot matrix survey1","survey","68","110721","0.0-68.0","","","","1","","","","","","","","","","","","1702","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","3","[]","","","",""
"dot matrix survey2","survey","69","111387","0.0-69.0","","","","1","","","","","","","","","","","","658","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","3","[]","","","",""
"dot matrix survey3","survey","70","112475","0.0-70.0","","","","1","","","","","","","","","","","","1083","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","3","[]","","","",""
"sliderTrial","html-slider-response","71","115068","0.0-71.0","","","","1","","","","","","","","","","","","2591","[""SV_PolicingMSA/CA_2555/IMG_8_2555.jpg"",""SV_PolicingMSA/CA_2555/IMG_13_2555.jpg"",""SV_PolicingMSA/CA_2555/IMG_3_2555.jpg"",""SV_PolicingMSA/CA_2555/IMG_14_2555.jpg"",""SV_PolicingMSA/CA_2555/IMG_9_2555.jpg"",""SV_PolicingMSA/CA_2555/IMG_6_2555.jpg"",""SV_PolicingMSA/CA_2555/IMG_2_2555.jpg"",""SV_PolicingMSA/CA_2555/IMG_7_2555.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png""]","","4"
"sliderTrial","html-slider-response","72","116523","0.0-72.0","","","","1","","","","","","","","","","","","1453","[""SV_PolicingMSA/CA_2555/IMG_8_2555.jpg"",""SV_PolicingMSA/CA_2555/IMG_13_2555.jpg"",""SV_PolicingMSA/CA_2555/IMG_3_2555.jpg"",""SV_PolicingMSA/CA_2555/IMG_14_2555.jpg"",""SV_PolicingMSA/CA_2555/IMG_9_2555.jpg"",""SV_PolicingMSA/CA_2555/IMG_6_2555.jpg"",""SV_PolicingMSA/CA_2555/IMG_2_2555.jpg"",""SV_PolicingMSA/CA_2555/IMG_7_2555.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png""]","","4"
