"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block","accuracy","slider_start","choices","standardized_response","correct"
"street view slide show","image-button-response","10","53449","0.0-10.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NJ_1880/IMG_2_1880.jpg","null","","","","","","2","","","","",""
"street view slide show","image-button-response","11","54466","0.0-11.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NJ_1880/IMG_8_1880.jpg","null","","","","","","2","","","","",""
"street view slide show","image-button-response","12","55479","0.0-12.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NJ_1880/IMG_13_1880.jpg","null","","","","","","2","","","","",""
"street view slide show","image-button-response","13","56487","0.0-13.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NJ_1880/IMG_6_1880.jpg","null","","","","","","2","","","","",""
"street view slide show","image-button-response","14","57502","0.0-14.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NJ_1880/IMG_11_1880.jpg","null","","","","","","2","","","","",""
"dot matrix survey1","survey","15","96758","0.0-15.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","39155","","{""P0_Q0"":null,""P0_Q1"":{""wealthy"":2,""safe"":2,""walkable"":3,""traditional"":3,""diverse"":2}}","","","","","","2","[]","","","",""
"dot matrix survey2","survey","16","129958","0.0-16.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","33189","","{""P0_Q0"":null,""P0_Q1"":{""violence"":2,""crime"":2,""drug"":2,""schools"":2,""opportunities"":2}}","","","","","","2","[]","","","",""
"dot matrix survey3","survey","17","174217","0.0-17.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","44252","","{""P0_Q0"":null,""P0_Q1"":{""movein"":1,""moveout"":2,""shopping"":2,""walk"":1,""park"":2,""school"":2}}","","","","","","2","[]","","","",""
"sliderTrial","html-slider-response","18","200507","0.0-18.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","26288","[""SV_PolicingMSA/NJ_1880/IMG_10_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_12_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_3_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_2_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_8_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_13_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_6_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_11_1880.jpg""]","4","","","","","","2","","4","[""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","19","212205","0.0-19.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","11696","[""SV_PolicingMSA/NJ_1880/IMG_10_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_12_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_3_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_2_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_8_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_13_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_6_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_11_1880.jpg""]","4","","","","","","2","","4","[""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","20","221126","0.0-20.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","8919","[""SV_PolicingMSA/NJ_1880/IMG_10_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_12_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_3_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_2_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_8_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_13_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_6_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_11_1880.jpg""]","5","","","","","","2","","4","[""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png""]","3",""
"sliderTrial","html-slider-response","21","229391","0.0-21.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","8264","[""SV_PolicingMSA/NJ_1880/IMG_10_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_12_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_3_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_2_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_8_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_13_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_6_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_11_1880.jpg""]","3","","","","","","2","","4","[""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png""]","3",""
"sliderTrial","html-slider-response","22","233592","0.0-22.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","4200","[""SV_PolicingMSA/NJ_1880/IMG_10_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_12_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_3_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_2_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_8_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_13_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_6_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_11_1880.jpg""]","5","","","","","","2","","4","[""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png""]","3",""
"before_SVSlide_prompt","html-button-response","23","236945","0.0-23.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","3352","Click [Next] to see the next neighborhood!","0","","","","","","","","","","",""
"street view slide show","image-button-response","24","237947","0.0-24.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_4752/IMG_2_4752.jpg","null","","","","","","5","","","","",""
"street view slide show","image-button-response","25","238954","0.0-25.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_4752/IMG_7_4752.jpg","null","","","","","","5","","","","",""
"street view slide show","image-button-response","26","239969","0.0-26.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_4752/IMG_12_4752.jpg","null","","","","","","5","","","","",""
"street view slide show","image-button-response","27","240987","0.0-27.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_4752/IMG_4_4752.jpg","null","","","","","","5","","","","",""
"street view slide show","image-button-response","28","241989","0.0-28.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_4752/IMG_9_4752.jpg","null","","","","","","5","","","","",""
"street view slide show","image-button-response","29","243006","0.0-29.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_4752/IMG_6_4752.jpg","null","","","","","","5","","","","",""
"street view slide show","image-button-response","30","244023","0.0-30.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_4752/IMG_3_4752.jpg","null","","","","","","5","","","","",""
"street view slide show","image-button-response","31","245040","0.0-31.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_4752/IMG_0_4752.jpg","null","","","","","","5","","","","",""
"dot matrix survey1","survey","32","271566","0.0-32.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","26493","","{""P0_Q0"":null,""P0_Q1"":{""wealthy"":1,""safe"":1,""walkable"":1,""traditional"":1,""diverse"":1}}","","","","","","5","[]","","","",""
"dot matrix survey2","survey","33","292279","0.0-33.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","20705","","{""P0_Q0"":null,""P0_Q1"":{""violence"":3,""crime"":3,""drug"":3,""schools"":1,""opportunities"":1}}","","","","","","5","[]","","","",""
"dot matrix survey3","survey","34","321451","0.0-34.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","29167","","{""P0_Q0"":null,""P0_Q1"":{""movein"":1,""moveout"":3,""shopping"":0,""walk"":0,""park"":0,""school"":1}}","","","","","","5","[]","","","",""
"sliderTrial","html-slider-response","35","328620","0.0-35.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","7168","[""SV_PolicingMSA/NY_4752/IMG_2_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_7_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_12_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_4_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_9_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_6_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_3_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_0_4752.jpg""]","4","","","","","","5","","4","[""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","36","332373","0.0-36.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","3751","[""SV_PolicingMSA/NY_4752/IMG_2_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_7_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_12_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_4_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_9_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_6_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_3_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_0_4752.jpg""]","4","","","","","","5","","4","[""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","37","335589","0.0-37.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","3214","[""SV_PolicingMSA/NY_4752/IMG_2_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_7_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_12_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_4_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_9_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_6_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_3_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_0_4752.jpg""]","4","","","","","","5","","4","[""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","38","339014","0.0-38.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","3424","[""SV_PolicingMSA/NY_4752/IMG_2_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_7_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_12_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_4_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_9_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_6_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_3_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_0_4752.jpg""]","4","","","","","","5","","4","[""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","39","341630","0.0-39.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","2615","[""SV_PolicingMSA/NY_4752/IMG_2_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_7_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_12_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_4_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_9_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_6_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_3_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_0_4752.jpg""]","4","","","","","","5","","4","[""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png""]","4",""
"before_SVSlide_prompt","html-button-response","40","343798","0.0-40.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","2168","Click [Next] to see the next neighborhood!","0","","","","","","","","","","",""
"street view slide show","image-button-response","41","344812","0.0-41.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_5291/IMG_14_5291.jpg","null","","","","","","4","","","","",""
"street view slide show","image-button-response","42","345829","0.0-42.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_5291/IMG_6_5291.jpg","null","","","","","","4","","","","",""
"street view slide show","image-button-response","43","346844","0.0-43.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_5291/IMG_3_5291.jpg","null","","","","","","4","","","","",""
"street view slide show","image-button-response","44","347860","0.0-44.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_5291/IMG_5_5291.jpg","null","","","","","","4","","","","",""
"street view slide show","image-button-response","45","348877","0.0-45.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_5291/IMG_8_5291.jpg","null","","","","","","4","","","","",""
"street view slide show","image-button-response","46","349895","0.0-46.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_5291/IMG_9_5291.jpg","null","","","","","","4","","","","",""
"street view slide show","image-button-response","47","350913","0.0-47.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_5291/IMG_4_5291.jpg","null","","","","","","4","","","","",""
"street view slide show","image-button-response","48","351930","0.0-48.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_5291/IMG_2_5291.jpg","null","","","","","","4","","","","",""
"dot matrix survey1","survey","49","372137","0.0-49.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","20177","","{""P0_Q0"":null,""P0_Q1"":{""wealthy"":1,""safe"":3,""walkable"":2,""traditional"":3,""diverse"":2}}","","","","","","4","[]","","","",""
"dot matrix survey2","survey","50","389283","0.0-50.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","17140","","{""P0_Q0"":null,""P0_Q1"":{""violence"":2,""crime"":2,""drug"":2,""schools"":2,""opportunities"":2}}","","","","","","4","[]","","","",""
"dot matrix survey3","survey","51","413877","0.0-51.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","24589","","{""P0_Q0"":null,""P0_Q1"":{""movein"":2,""moveout"":2,""shopping"":2,""walk"":1,""park"":2,""school"":2}}","","","","","","4","[]","","","",""
"sliderTrial","html-slider-response","52","419759","0.0-52.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","5880","[""SV_PolicingMSA/NY_5291/IMG_14_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_6_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_3_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_5_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_8_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_9_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_4_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_2_5291.jpg""]","3","","","","","","4","","4","[""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png""]","3",""
"sliderTrial","html-slider-response","53","423160","0.0-53.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","3400","[""SV_PolicingMSA/NY_5291/IMG_14_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_6_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_3_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_5_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_8_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_9_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_4_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_2_5291.jpg""]","5","","","","","","4","","4","[""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png""]","3",""
"sliderTrial","html-slider-response","54","426969","0.0-54.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","3808","[""SV_PolicingMSA/NY_5291/IMG_14_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_6_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_3_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_5_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_8_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_9_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_4_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_2_5291.jpg""]","5","","","","","","4","","4","[""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png""]","3",""
"sliderTrial","html-slider-response","55","430482","0.0-55.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","3512","[""SV_PolicingMSA/NY_5291/IMG_14_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_6_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_3_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_5_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_8_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_9_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_4_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_2_5291.jpg""]","5","","","","","","4","","4","[""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png""]","3",""
"sliderTrial","html-slider-response","56","433682","0.0-56.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","3199","[""SV_PolicingMSA/NY_5291/IMG_14_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_6_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_3_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_5_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_8_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_9_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_4_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_2_5291.jpg""]","3","","","","","","4","","4","[""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png""]","3",""
"before_SVSlide_prompt","html-button-response","57","436146","0.0-57.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","2463","Click [Next] to see the next neighborhood!","0","","","","","","","","","","",""
"street view slide show","image-button-response","58","437154","0.0-58.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NJ_1052/IMG_10_1052.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","59","438169","0.0-59.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NJ_1052/IMG_13_1052.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","60","439187","0.0-60.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NJ_1052/IMG_5_1052.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","61","440205","0.0-61.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NJ_1052/IMG_11_1052.jpg","null","","","","","","3","","","","",""
