"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block","accuracy","slider_start","choices","standardized_response","correct"
"street view slide show","image-button-response","11","1585516","0.0-11.0","","656776a7904ae00d6b91d1dd","6568ade7a64de5a97e784b1f","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_226/IMG_0_226.jpg","null","","","","","","1","","","","",""
"street view slide show","image-button-response","12","1591388","0.0-12.0","","656776a7904ae00d6b91d1dd","6568ade7a64de5a97e784b1f","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_226/IMG_14_226.jpg","null","","","","","","1","","","","",""
"street view slide show","image-button-response","13","1592389","0.0-13.0","","656776a7904ae00d6b91d1dd","6568ade7a64de5a97e784b1f","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_226/IMG_5_226.jpg","null","","","","","","1","","","","",""
"street view slide show","image-button-response","14","1593391","0.0-14.0","","656776a7904ae00d6b91d1dd","6568ade7a64de5a97e784b1f","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_226/IMG_4_226.jpg","null","","","","","","1","","","","",""
"dot matrix survey1","survey","15","1607743","0.0-15.0","","656776a7904ae00d6b91d1dd","6568ade7a64de5a97e784b1f","3","","","","","","","","","","","","14175","","{""P0_Q0"":null,""P0_Q1"":{""wealthy"":4,""safe"":3,""walkable"":4,""traditional"":3,""diverse"":2}}","","","","","","1","[]","","","",""
"dot matrix survey2","survey","16","1621696","0.0-16.0","","656776a7904ae00d6b91d1dd","6568ade7a64de5a97e784b1f","3","","","","","","","","","","","","13935","","{""P0_Q0"":null,""P0_Q1"":{""violence"":0,""crime"":1,""drug"":0,""schools"":4,""opportunities"":2}}","","","","","","1","[]","","","",""
"dot matrix survey3","survey","17","1631778","0.0-17.0","","656776a7904ae00d6b91d1dd","6568ade7a64de5a97e784b1f","3","","","","","","","","","","","","10067","","{""P0_Q0"":null,""P0_Q1"":{""movein"":4,""moveout"":3,""walk"":4,""park"":3,""school"":2}}","","","","","","1","[]","","","",""
"sliderTrial","html-slider-response","18","1646022","0.0-18.0","","656776a7904ae00d6b91d1dd","6568ade7a64de5a97e784b1f","3","","","","","","","","","","","","14239","[""SV_PolicingMSA/NY_226/IMG_11_226.jpg"",""SV_PolicingMSA/NY_226/IMG_12_226.jpg"",""SV_PolicingMSA/NY_226/IMG_8_226.jpg"",""SV_PolicingMSA/NY_226/IMG_7_226.jpg"",""SV_PolicingMSA/NY_226/IMG_0_226.jpg"",""SV_PolicingMSA/NY_226/IMG_14_226.jpg"",""SV_PolicingMSA/NY_226/IMG_5_226.jpg"",""SV_PolicingMSA/NY_226/IMG_4_226.jpg""]","5","","","","","","1","","4","[""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png""]","3",""
"sliderTrial_attention","html-slider-response","19","1656032","0.0-19.0","","656776a7904ae00d6b91d1dd","6568ade7a64de5a97e784b1f","3","","","","","","","","","","","","null","[""SV_PolicingMSA/NY_226/IMG_11_226.jpg"",""SV_PolicingMSA/NY_226/IMG_12_226.jpg"",""SV_PolicingMSA/NY_226/IMG_8_226.jpg"",""SV_PolicingMSA/NY_226/IMG_7_226.jpg"",""SV_PolicingMSA/NY_226/IMG_0_226.jpg"",""SV_PolicingMSA/NY_226/IMG_14_226.jpg"",""SV_PolicingMSA/NY_226/IMG_5_226.jpg"",""SV_PolicingMSA/NY_226/IMG_4_226.jpg""]","null","","","","","","1","","4","[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]","","true"
"sliderTrial","html-slider-response","20","1663007","0.0-20.0","","656776a7904ae00d6b91d1dd","6568ade7a64de5a97e784b1f","3","","","","","","","","","","","","6970","[""SV_PolicingMSA/NY_226/IMG_11_226.jpg"",""SV_PolicingMSA/NY_226/IMG_12_226.jpg"",""SV_PolicingMSA/NY_226/IMG_8_226.jpg"",""SV_PolicingMSA/NY_226/IMG_7_226.jpg"",""SV_PolicingMSA/NY_226/IMG_0_226.jpg"",""SV_PolicingMSA/NY_226/IMG_14_226.jpg"",""SV_PolicingMSA/NY_226/IMG_5_226.jpg"",""SV_PolicingMSA/NY_226/IMG_4_226.jpg""]","5","","","","","","1","","4","[""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png""]","5",""
"sliderTrial","html-slider-response","21","1665800","0.0-21.0","","656776a7904ae00d6b91d1dd","6568ade7a64de5a97e784b1f","3","","","","","","","","","","","","2790","[""SV_PolicingMSA/NY_226/IMG_11_226.jpg"",""SV_PolicingMSA/NY_226/IMG_12_226.jpg"",""SV_PolicingMSA/NY_226/IMG_8_226.jpg"",""SV_PolicingMSA/NY_226/IMG_7_226.jpg"",""SV_PolicingMSA/NY_226/IMG_0_226.jpg"",""SV_PolicingMSA/NY_226/IMG_14_226.jpg"",""SV_PolicingMSA/NY_226/IMG_5_226.jpg"",""SV_PolicingMSA/NY_226/IMG_4_226.jpg""]","3","","","","","","1","","4","[""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png""]","5",""
"sliderTrial","html-slider-response","22","1668583","0.0-22.0","","656776a7904ae00d6b91d1dd","6568ade7a64de5a97e784b1f","3","","","","","","","","","","","","2780","[""SV_PolicingMSA/NY_226/IMG_11_226.jpg"",""SV_PolicingMSA/NY_226/IMG_12_226.jpg"",""SV_PolicingMSA/NY_226/IMG_8_226.jpg"",""SV_PolicingMSA/NY_226/IMG_7_226.jpg"",""SV_PolicingMSA/NY_226/IMG_0_226.jpg"",""SV_PolicingMSA/NY_226/IMG_14_226.jpg"",""SV_PolicingMSA/NY_226/IMG_5_226.jpg"",""SV_PolicingMSA/NY_226/IMG_4_226.jpg""]","6","","","","","","1","","4","[""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png""]","6",""
"sliderTrial","html-slider-response","23","1673651","0.0-23.0","","656776a7904ae00d6b91d1dd","6568ade7a64de5a97e784b1f","3","","","","","","","","","","","","5065","[""SV_PolicingMSA/NY_226/IMG_11_226.jpg"",""SV_PolicingMSA/NY_226/IMG_12_226.jpg"",""SV_PolicingMSA/NY_226/IMG_8_226.jpg"",""SV_PolicingMSA/NY_226/IMG_7_226.jpg"",""SV_PolicingMSA/NY_226/IMG_0_226.jpg"",""SV_PolicingMSA/NY_226/IMG_14_226.jpg"",""SV_PolicingMSA/NY_226/IMG_5_226.jpg"",""SV_PolicingMSA/NY_226/IMG_4_226.jpg""]","6","","","","","","1","","4","[""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png""]","6",""
"before_SVSlide_prompt","html-button-response","24","1674971","0.0-24.0","","656776a7904ae00d6b91d1dd","6568ade7a64de5a97e784b1f","3","","","","","","","","","","","","1319","Click [Next] to see the next neighborhood!","0","","","","","","","","","","",""
"street view slide show","image-button-response","25","1675977","0.0-25.0","","656776a7904ae00d6b91d1dd","6568ade7a64de5a97e784b1f","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_293/IMG_14_293.jpg","null","","","","","","4","","","","",""
"street view slide show","image-button-response","26","1676990","0.0-26.0","","656776a7904ae00d6b91d1dd","6568ade7a64de5a97e784b1f","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_293/IMG_1_293.jpg","null","","","","","","4","","","","",""
"street view slide show","image-button-response","27","1678006","0.0-27.0","","656776a7904ae00d6b91d1dd","6568ade7a64de5a97e784b1f","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_293/IMG_5_293.jpg","null","","","","","","4","","","","",""
"street view slide show","image-button-response","28","1679009","0.0-28.0","","656776a7904ae00d6b91d1dd","6568ade7a64de5a97e784b1f","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_293/IMG_10_293.jpg","null","","","","","","4","","","","",""
"street view slide show","image-button-response","29","1680021","0.0-29.0","","656776a7904ae00d6b91d1dd","6568ade7a64de5a97e784b1f","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_293/IMG_13_293.jpg","null","","","","","","4","","","","",""
"street view slide show","image-button-response","30","1681025","0.0-30.0","","656776a7904ae00d6b91d1dd","6568ade7a64de5a97e784b1f","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_293/IMG_7_293.jpg","null","","","","","","4","","","","",""
"street view slide show","image-button-response","31","1682404","0.0-31.0","","656776a7904ae00d6b91d1dd","6568ade7a64de5a97e784b1f","3","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_293/IMG_6_293.jpg","null","","","","","","4","","","","",""
